Schema	Table	InsertDateField	UpdateDateField	ReferenceTable	ReferenceKey	ReferenceInsertDate	ReferenceUpdateDate	MasterORTransaction	PMC	FiscalYear
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2019-04-01' AND '2020-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2019-04-01' AND '2020-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2019-04-01' AND '2020-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2019-04-01' AND '2020-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2019-04-01' AND '2020-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2019-04-01' AND '2020-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2019-04-01' AND '2020-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2019-04-01' AND '2020-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2019-04-01' AND '2020-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2019-04-01' AND '2020-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2018-04-01' AND '2019-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2018-04-01' AND '2019-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2018-04-01' AND '2019-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2018-04-01' AND '2019-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2018-04-01' AND '2019-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2018-04-01' AND '2019-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2018-04-01' AND '2019-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2018-04-01' AND '2019-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2018-04-01' AND '2019-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2018-04-01' AND '2019-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2017-04-01' AND '2018-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2017-04-01' AND '2018-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2017-04-01' AND '2018-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2017-04-01' AND '2018-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2017-04-01' AND '2018-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2017-04-01' AND '2018-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2017-04-01' AND '2018-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2017-04-01' AND '2018-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2017-04-01' AND '2018-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2017-04-01' AND '2018-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2016-04-01' AND '2017-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2016-04-01' AND '2017-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2016-04-01' AND '2017-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2016-04-01' AND '2017-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2016-04-01' AND '2017-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2016-04-01' AND '2017-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2016-04-01' AND '2017-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2016-04-01' AND '2017-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2016-04-01' AND '2017-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2016-04-01' AND '2017-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2015-04-01' AND '2016-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2015-04-01' AND '2016-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2015-04-01' AND '2016-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2015-04-01' AND '2016-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2015-04-01' AND '2016-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2015-04-01' AND '2016-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2015-04-01' AND '2016-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2015-04-01' AND '2016-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2015-04-01' AND '2016-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2015-04-01' AND '2016-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2014-04-01' AND '2015-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2014-04-01' AND '2015-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2014-04-01' AND '2015-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2014-04-01' AND '2015-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2014-04-01' AND '2015-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2014-04-01' AND '2015-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2014-04-01' AND '2015-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2014-04-01' AND '2015-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2014-04-01' AND '2015-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2014-04-01' AND '2015-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2013-04-01' AND '2014-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2013-04-01' AND '2014-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2013-04-01' AND '2014-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2013-04-01' AND '2014-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2013-04-01' AND '2014-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2013-04-01' AND '2014-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2013-04-01' AND '2014-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2013-04-01' AND '2014-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2013-04-01' AND '2014-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2013-04-01' AND '2014-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2012-04-01' AND '2013-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2012-04-01' AND '2013-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2012-04-01' AND '2013-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2012-04-01' AND '2013-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2012-04-01' AND '2013-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2012-04-01' AND '2013-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2012-04-01' AND '2013-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2012-04-01' AND '2013-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2012-04-01' AND '2013-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2012-04-01' AND '2013-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2011-04-01' AND '2012-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2011-04-01' AND '2012-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2011-04-01' AND '2012-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2011-04-01' AND '2012-03-31'
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2011-04-01' AND '2012-03-31'
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No	'2011-04-01' AND '2012-03-31'
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2011-04-01' AND '2012-03-31'
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2011-04-01' AND '2012-03-31'
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2011-04-01' AND '2012-03-31'
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2011-04-01' AND '2012-03-31'
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2010-04-01' AND '2011-03-31'
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2010-04-01' AND '2011-03-31'
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	No	'2010-04-01' AND '2011-03-31'
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes	'2010-04-01' AND '2011-03-31'
