Schema	Table	InsertDateField	UpdateDateField	ReferenceTable	ReferenceKey	ReferenceInsertDate	ReferenceUpdateDate	MasterORTransaction	PMC
MULDMS	AM_LIST	CREATED_DATE	MODIFIED_DATE					Master	Yes
MULDMS	AM_LIST_RANGE	CREATED_DATE	MODIFIED_DATE					Master	Yes
MULDMS	AM_DEALER_LOC	CREATED_DATE	MODIFIED_DATE					Master	Yes
MULDMS	GM_MOD	CREATED_DATE	MODIFIED_DATE					Master	Yes
MULDMS	GM_VAR	CREATED_DATE	MODIFIED_DATE					Master	Yes
MULDMS	GM_MODEL_VAR_MAP	CREATED_DATE	MODIFIED_DATE					Master	No
MULDMS	GM_VAR_ECLR	CREATED_DATE	MODIFIED_DATE					Master	Yes
MULDMS	GM_STATE	CREATED_DATE	MODIFIED_DATE					Master	Yes
MULDMS	GM_TEHSIL	CREATED_DATE	MODIFIED_DATE					Master	Yes
MULDMS	GM_VILLAGE	CREATED_DATE	MODIFIED_DATE					Master	Yes
MULDMS	RH_ENQ	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	RD_ENQ	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	RD_ENQEXD	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	RD_ENQFOLLOW	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	RD_OLD_ENQFOLLOW	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	RD_ENQIND	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	RT_TEST_DRIVE	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	ST_NEXA_QUOT	QUOT_CREATED_DATE	TIMESTAMP					Transaction	No
MULDMS	SH_TV_EVAL	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	SH_ORDBOOK	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	SH_INVOICE	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	SH_INV_SCHEME	CREATED_DATE	MODIFIED_DATE					Transaction	No
MULDMS	SD_INV_CHARGES	CREATED_DATE	MODIFIED_DATE					Transaction	No
